[08/17/23 21:50:32] Log: Log file open, 08/17/23 21:50:32
[08/17/23 21:50:32] Map: ctf_compound
[08/17/23 21:50:32] GameMode: ModMPGame.TAGCTFGame
[08/17/23 21:50:32] Team: team_list 0 :  (0,Raider_Fan) (1,BeTiToo) (0,RaV) (5,-=TAG=-Helios™) (6,Twrch)
[08/17/23 21:50:32] Team: team_list 1 :  (2,dog) (4,Skate) (7,slicer) (8,RaiderX)
[08/17/23 21:50:32] StartGame: Match is live
[08/17/23 21:50:42] Kill: 4 5 None 1.00
[08/17/23 21:50:48] Kill: 0 4 None 1.00
[08/17/23 21:50:51] Kill: 0 8 spine2 2.00
[08/17/23 21:50:53] Kill: 7 0 spine3 1.00
[08/17/23 21:50:57] Kill: 0 5 None 1.00
[08/17/23 21:51:01] Kill: 2 4 spine3 -1.00
[08/17/23 21:51:03] Kill: 6 7 Head 1.00
[08/17/23 21:51:05] Kill: 8 0 None 1.00
[08/17/23 21:51:09] Kill: 6 8 Head 2.00
[08/17/23 21:51:09] Kill: 2 6 spine3 0.00
[08/17/23 21:51:13] Kill: 2 0 elbow_L 1.00
[08/17/23 21:51:19] Kill: 4 5 Head 2.00
[08/17/23 21:51:26] Kill: 2 0 Head 2.00
[08/17/23 21:51:27] Kill: 0 7 spine3 2.00
[08/17/23 21:51:31] Kill: 2 6 shoulder_L 3.00
[08/17/23 21:51:35] Kill: 2 5 spine2 4.00
[08/17/23 21:51:37] Kill: 4 0 elbow_L 3.00
[08/17/23 21:51:39] Kill: 0 2 None 1.00
[08/17/23 21:51:45] Kill: 0 4 elbow_L 2.00
[08/17/23 21:51:46] Kill: 8 6 spine3 2.00
[08/17/23 21:51:50] Kill: 0 7 elbow_L 3.00
[08/17/23 21:51:52] Kill: 8 0 pelvis 3.00
[08/17/23 21:51:53] Kill: 0 8 None 4.00
[08/17/23 21:52:01] Kill: 2 6 Head 5.00
[08/17/23 21:52:09] Kill: 2 0 None 6.00
[08/17/23 21:52:13] Kill: 0 4 Head 5.00
[08/17/23 21:52:18] Kill: 2 5 knee_L 7.00
[08/17/23 21:52:22] Kill: 7 0 hip_R 2.00
[08/17/23 21:52:24] Kill: 0 8 pelvis 6.00
[08/17/23 21:52:26] Kill: 6 6 spine3 1.00
[08/17/23 21:52:28] Flag: flag_ret_friendly_2 2
[08/17/23 21:52:30] Flag: flag_ret_friendly_2 5
[08/17/23 21:52:32] Kill: 2 0 pelvis 10.00
[08/17/23 21:52:33] Kill: 5 7 None 3.00
[08/17/23 21:52:36] Kill: 0 4 spine2 3.00
[08/17/23 21:52:39] Kill: 2 0 pelvis 11.00
[08/17/23 21:52:48] Kill: 7 6 pelvis 3.00
[08/17/23 21:52:49] Kill: 4 5 Head 4.00
[08/17/23 21:52:55] Kill: 8 0 Head 4.00
[08/17/23 21:53:00] Kill: 0 8 pelvis 7.00
[08/17/23 21:53:02] Kill: 2 6 elbow_L 12.00
[08/17/23 21:53:07] Kill: 4 0 Head 5.00
[08/17/23 21:53:10] Kill: 2 5 elbow_R 13.00
[08/17/23 21:53:15] Kill: 0 4 Head 8.00
[08/17/23 21:53:21] Kill: 7 6 Head 4.00
[08/17/23 21:53:25] Kill: 5 7 None 4.00
[08/17/23 21:53:35] Kill: 5 4 None 5.00
[08/17/23 21:53:36] Kill: 0 2 spine2 4.00
[08/17/23 21:53:37] Kill: 8 0 Head 5.00
[08/17/23 21:53:40] Kill: 8 5 elbow_L 6.00
[08/17/23 21:53:43] Kill: 0 7 elbow_L 5.00
[08/17/23 21:53:49] Kill: 0 2 spine2 9.00
[08/17/23 21:53:55] Kill: 4 6 Head 6.00
[08/17/23 21:53:58] Kill: 0 4 None 10.00
[08/17/23 21:54:02] Kill: 0 7 spine2 6.00
[08/17/23 21:54:06] Kill: 0 8 spine3 7.00
[08/17/23 21:54:15] Kill: 4 5 Head 7.00
